ARQUITETURA_ANSATZ,INPUT_EMBEDDING,DATASET,DATASET_DIVISION_INDEX,OPTIMIZER,UNSUPERVISED_METRIC,MEASURED_WIRES,MEASURE_TYPE,TRAIN_METRIC_COST,TEST_METRIC_COST,TRAIN_ACCURACY,TEST_ACCURACY,WEIGHT,BIAS,USE_BIAS
hr,amplitude,blobs_2classes_2features_500samples_high_noise,0,SPSAOptimizer(10),silhouette,1,expval,0.7975354525816077,0.8108114318251746,0.229445070720558,0.2154940521020239,[ 0.44099972  1.36219994 -0.86593594],[0.18134405],YES
hr,amplitude,blobs_2classes_2features_500samples_high_noise,0,SPSAOptimizer(10),calinski harabasz,1,expval,0.0047516217248967,0.0146150049926607,0.293766005963866,0.2344754432184861,[ 0.60044783  1.54786053 -1.11600419],[0.29689161],YES
hr,amplitude,blobs_2classes_2features_500samples_high_noise,0,NesterovMomentumOptimizer(0.1),silhouette,1,expval,0.823850322281975,0.8117737257131395,0.2054976536569459,0.1856644393081949,[ 0.38172023  1.33212416 -0.87978253],[0.],YES
hr,amplitude,blobs_2classes_2features_500samples_high_noise,0,NesterovMomentumOptimizer(0.1),calinski harabasz,1,expval,0.0069114559938157,0.0165868425607213,0.2054976536569459,0.1856644393081949,[ 0.38172023  1.33212416 -0.87978253],[0.],YES
hr,amplitude,blobs_2classes_2features_500samples_high_noise,1,SPSAOptimizer(10),silhouette,1,expval,0.7975354525816077,0.8108114318251746,0.229445070720558,0.2154940521020239,[ 0.44099972  1.36219994 -0.86593594],[0.18134405],YES
hr,amplitude,blobs_2classes_2features_500samples_high_noise,1,SPSAOptimizer(10),calinski harabasz,1,expval,0.0047516217248967,0.0146150049926607,0.293766005963866,0.2344754432184861,[ 0.60044783  1.54786053 -1.11600419],[0.29689161],YES
hr,amplitude,blobs_2classes_2features_500samples_high_noise,1,NesterovMomentumOptimizer(0.1),silhouette,1,expval,0.823850322281975,0.8117737257131395,0.2054976536569459,0.1856644393081949,[ 0.38172023  1.33212416 -0.87978253],[0.],YES
hr,amplitude,blobs_2classes_2features_500samples_high_noise,1,NesterovMomentumOptimizer(0.1),calinski harabasz,1,expval,0.0069114559938157,0.0165868425607213,0.2054976536569459,0.1856644393081949,[ 0.38172023  1.33212416 -0.87978253],[0.],YES
hr,amplitude,blobs_2classes_2features_500samples_high_noise,2,SPSAOptimizer(10),silhouette,1,expval,0.7975354525816077,0.8108114318251746,0.229445070720558,0.2154940521020239,[ 0.44099972  1.36219994 -0.86593594],[0.18134405],YES
hr,amplitude,blobs_2classes_2features_500samples_high_noise,2,SPSAOptimizer(10),calinski harabasz,1,expval,0.0047516217248967,0.0146150049926607,0.293766005963866,0.2344754432184861,[ 0.60044783  1.54786053 -1.11600419],[0.29689161],YES
hr,amplitude,blobs_2classes_2features_500samples_high_noise,2,NesterovMomentumOptimizer(0.1),silhouette,1,expval,0.823850322281975,0.8117737257131395,0.2054976536569459,0.1856644393081949,[ 0.38172023  1.33212416 -0.87978253],[0.],YES
